Name,longitude,latitude
MacRitchie Reservoir,103.831111,1.343611
Lower Peirce Reservoir,103.823333,1.369444
Upper Seletar Reservoir,103.803889,1.401111
Upper Peirce Reservoir,103.801944,1.367500
Kranji Reservoir,103.743056,1.428333
Pandan Reservoir,103.741667,1.313889
Murai Reservoir,103.673611,1.400000
Poyan Reservoir,103.663889,1.376944
Sarimbun Reservoir,103.683333,1.426389
Tengeh Reservoir,103.647222,1.345833
Jurong Lake,103.726747,1.341633
Pulau Tekong Reservoir,104.042222,1.413333
Lower Seletar Reservoir,103.839722,1.404167
Bedok Reservoir,103.925000,1.342222
Marina Reservoir,103.867536,1.286258
Punggol Reservoir,103.898333,1.417778
Segrangoon Reservoir,103.930278,1.400833
